GEO_UID,CMA_code,CMA_name,Census_Tract_name,Occupied_private_dwellings_by_structural_type_of_dwelling,Single_detached_house,Apartment_in_a_building_that_has_five_or_more_storeys,Semi_detached_house,Row_house,Apartment_or_flat_in_a_duplex,Apartment_in_a_building_that_has_fewer_than_five_storeys,Movable_dwelling,Private_households_by_household_size,F1_person,F2_person,F3_person,F4_person,F5_person_or_more,Number_of_persons_in_private_households
5350105.0,535,Toronto,105.0,1790,435,40,320,140,215,645,0,1790,525,535,325,295,115,4355
5350106.0,535,Toronto,106.0,1345,95,0,475,280,90,395,0,1345,300,365,265,240,175,3760
5350107.0,535,Toronto,107.0,1750,375,0,655,50,140,530,0,1750,320,485,385,335,230,5080
5350108.0,535,Toronto,108.0,2475,130,500,565,250,70,945,0,2475,875,630,415,325,230,6010
5350109.0,535,Toronto,109.0,2205,260,0,370,620,140,790,0,2200,485,800,465,310,140,5495
5350110.0,535,Toronto,110.0,1435,285,0,270,35,235,560,0,1430,360,490,260,220,105,3575
5350111.0,535,Toronto,111.0,905,195,0,345,25,60,270,0,905,165,280,200,170,95,2505
5350112.0,535,Toronto,112.0,2035,485,0,560,45,145,795,0,2035,455,650,455,290,180,5265
5350113.0,535,Toronto,113.0,1120,275,0,55,0,170,610,0,1120,305,370,220,155,75,2735
5350114.0,535,Toronto,114.0,2370,420,615,305,15,145,870,0,2370,930,715,315,290,125,5125
5350115.0,535,Toronto,115.0,1595,135,100,330,235,145,635,0,1600,420,510,315,240,120,3985
5350116.0,535,Toronto,116.0,1920,365,580,245,40,105,575,0,1920,725,645,245,220,85,4090
5350117.0,535,Toronto,117.0,1110,120,305,160,135,30,360,0,1105,450,395,130,95,45,2210
5350118.0,535,Toronto,118.0,1990,315,1050,65,30,80,445,0,1990,780,740,225,175,75,4020
5350119.0,535,Toronto,119.0,2310,440,1325,40,35,45,420,0,2310,1045,770,200,165,125,4555
5350120.0,535,Toronto,120.0,655,70,95,150,170,5,160,0,655,230,245,85,80,20,1385
5350121.0,535,Toronto,121.0,1445,115,960,130,10,30,210,0,1450,725,500,130,70,25,2515
5350122.0,535,Toronto,122.0,3445,325,1820,165,40,95,990,0,3445,1650,1215,280,210,85,6215
5350123.0,535,Toronto,123.0,1470,10,1440,5,0,0,10,0,1470,860,465,100,35,5,2265
5350124.0,535,Toronto,124.0,3275,115,2545,70,160,85,305,0,3275,1870,1015,205,140,50,5325
5350125.0,535,Toronto,125.0,1540,1055,0,125,10,120,220,0,1545,250,470,255,370,190,4440
5350126.0,535,Toronto,126.0,1695,570,150,615,40,60,260,0,1690,445,490,315,345,95,4245
5350127.0,535,Toronto,127.0,2235,810,470,660,10,45,235,0,2235,665,630,370,465,110,5450
5350128.02,535,Toronto,128.02,4765,385,3640,140,30,70,505,0,4765,2440,1540,450,260,80,8315
5350128.04,535,Toronto,128.04,2925,0,2745,0,100,0,80,0,2925,1730,875,205,85,25,4605
5350128.05,535,Toronto,128.05,305,90,0,40,0,30,145,0,305,80,120,45,45,15,710
5350128.06,535,Toronto,128.06,2520,0,2455,0,25,0,50,0,2525,1380,755,270,100,20,4195
5350129.0,535,Toronto,129.0,2620,805,515,85,25,210,980,0,2625,940,855,355,345,125,5760
5350130.0,535,Toronto,130.0,1280,840,75,30,5,40,280,0,1275,295,420,185,210,165,3440
5350131.0,535,Toronto,131.0,2360,845,910,35,35,30,500,0,2360,865,775,255,265,205,5305
5350132.0,535,Toronto,132.0,2040,860,800,10,30,100,240,0,2040,495,605,330,360,245,5455
5350133.0,535,Toronto,133.0,3410,610,2630,5,0,10,145,0,3410,1435,955,440,385,190,7220
5350134.0,535,Toronto,134.0,1035,760,0,5,10,100,155,0,1035,180,310,205,265,85,2895
5350135.0,535,Toronto,135.0,3055,595,1480,380,35,100,465,0,3055,1425,840,355,345,95,6045
5350136.01,535,Toronto,136.01,3780,0,3190,0,35,0,555,0,3775,2125,1170,325,125,35,6120
5350136.02,535,Toronto,136.02,3195,0,2755,5,10,0,420,0,3200,1915,930,225,105,25,4980
5350137.0,535,Toronto,137.0,3510,780,1655,345,90,75,560,0,3510,1540,1050,395,395,120,7060
5350138.0,535,Toronto,138.0,1180,740,145,0,0,10,275,0,1180,310,355,155,215,140,3105
5350139.01,535,Toronto,139.01,1820,700,690,40,5,35,355,0,1825,680,515,220,260,140,4165
5350139.02,535,Toronto,139.02,920,580,90,65,5,35,145,0,920,205,260,135,220,100,2545
